Symbol,Name,Market Cap,Current Price
BTC,Bitcoin,1343658218428,67164.0
ETH,Ethereum,234521885848,1942.27
USDT,Tether,183672434846,0.999617
XRP,XRP,85498425942,1.4
BNB,BNB,82894828069,607.49
USDC,USDC,74009437409,1.0
SOL,Solana,47466811911,83.43
TRX,TRON,26985867315,0.284829
DOGE,Dogecoin,16559536361,0.097995
FIGR_HELOC,Figure Heloc,15663949960,1.029
BCH,Bitcoin Cash,11012478923,550.53
WBT,WhiteBIT Coin,10765660251,50.4
ADA,Cardano,10163188217,0.275897
USDS,USDS,9904018012,0.999955
LEO,LEO Token,8022424367,8.71
HYPE,Hyperliquid,6995383505,29.29
USDE,Ethena USDe,6227768610,0.998659
XMR,Monero,6098635746,330.16
LINK,Chainlink,6092565998,8.6
CC,Canton,5972581623,0.15801
